[0000001665ns] mem wr: pc = 1c000050, addr = 1c080054, data = 20202020
[0000001703ns] mem rd: pc = 1c000060, addr = 1c009938, data = 00207369
[0000001727ns] mem wr: pc = 1c000050, addr = 1c080058, data = 00207369
[0000001769ns] mem rd: pc = 1c000060, addr = 1c00993c, data = 6461420a
[0000001789ns] mem wr: pc = 1c000050, addr = 1c08005c, data = 6461420a
[0000001827ns] mem rd: pc = 1c000060, addr = 1c009940, data = 64646120
[0000001841ns] mem wr: pc = 1c000050, addr = 1c080060, data = 64646120
[0000001883ns] mem rd: pc = 1c000060, addr = 1c009944, data = 20202072
[0000001895ns] mem wr: pc = 1c000050, addr = 1c080064, data = 20202072
[0000001933ns] mem rd: pc = 1c000060, addr = 1c009948, data = 00207369
[0000001959ns] mem wr: pc = 1c000050, addr = 1c080068, data = 00207369
[0000002001ns] mem rd: pc = 1c000060, addr = 1c00994c, data = 3d3d3d0a
[0000002019ns] mem wr: pc = 1c000050, addr = 1c08006c, data = 3d3d3d0a
[0000002063ns] mem rd: pc = 1c000060, addr = 1c009950, data = 3d3d3d3d
[0000002079ns] mem wr: pc = 1c000050, addr = 1c080070, data = 3d3d3d3d
[0000002121ns] mem rd: pc = 1c000060, addr = 1c009954, data = 3d3d3d3d
[0000002141ns] mem wr: pc = 1c000050, addr = 1c080074, data = 3d3d3d3d
[0000002179ns] mem rd: pc = 1c000060, addr = 1c009958, data = 3d3d3d3d
[0000002197ns] mem wr: pc = 1c000050, addr = 1c080078, data = 3d3d3d3d
[0000002235ns] mem rd: pc = 1c000060, addr = 1c00995c, data = 3d3d3d3d
[0000002251ns] mem wr: pc = 1c000050, addr = 1c08007c, data = 3d3d3d3d
[0000002303ns] mem rd: pc = 1c000060, addr = 1c009960, data = 00000a3d
[0000002317ns] mem wr: pc = 1c000050, addr = 1c080080, data = 00000a3d
[0000002355ns] mem rd: pc = 1c000060, addr = 1c009964, data = 6c6c6548
[0000002375ns] mem wr: pc = 1c000050, addr = 1c080084, data = 6c6c6548
[0000002419ns] mem rd: pc = 1c000060, addr = 1c009968, data = 6f4c206f
[0000002439ns] mem wr: pc = 1c000050, addr = 1c080088, data = 6f4c206f
[0000002483ns] mem rd: pc = 1c000060, addr = 1c00996c, data = 61676e6f
[0000002497ns] mem wr: pc = 1c000050, addr = 1c08008c, data = 61676e6f
[0000002543ns] mem rd: pc = 1c000060, addr = 1c009970, data = 33686372
[0000002557ns] mem wr: pc = 1c000050, addr = 1c080090, data = 33686372
[0000002595ns] mem rd: pc = 1c000060, addr = 1c009974, data = 0a217232
[0000002611ns] mem wr: pc = 1c000050, addr = 1c080094, data = 0a217232
[0000002657ns] mem rd: pc = 1c000060, addr = 1c009978, data = 00000000
[0000002679ns] mem wr: pc = 1c000050, addr = 1c080098, data = 00000000
[0000002717ns] mem rd: pc = 1c000060, addr = 1c00997c, data = 203d2061
[0000002737ns] mem wr: pc = 1c000050, addr = 1c08009c, data = 203d2061
[0000002779ns] mem rd: pc = 1c000060, addr = 1c009980, data = 000a6425
[0000002793ns] mem wr: pc = 1c000050, addr = 1c0800a0, data = 000a6425
[0000002839ns] mem rd: pc = 1c000060, addr = 1c009984, data = 203d2062
[0000002855ns] mem wr: pc = 1c000050, addr = 1c0800a4, data = 203d2062
[0000002897ns] mem rd: pc = 1c000060, addr = 1c009988, data = 000a6625
[0000002919ns] mem wr: pc = 1c000050, addr = 1c0800a8, data = 000a6625
[0000002961ns] mem rd: pc = 1c000060, addr = 1c00998c, data = 203d2063
[0000002977ns] mem wr: pc = 1c000050, addr = 1c0800ac, data = 203d2063
[0000003021ns] mem rd: pc = 1c000060, addr = 1c009990, data = 0a666c25
[0000003037ns] mem wr: pc = 1c000050, addr = 1c0800b0, data = 0a666c25
[0000003075ns] mem rd: pc = 1c000060, addr = 1c009994, data = 00000000
[0000003097ns] mem wr: pc = 1c000050, addr = 1c0800b4, data = 00000000
[0000003135ns] mem rd: pc = 1c000060, addr = 1c009998, data = 44434241
[0000003159ns] mem wr: pc = 1c000050, addr = 1c0800b8, data = 44434241
[0000003197ns] mem rd: pc = 1c000060, addr = 1c00999c, data = 00000045
[0000003217ns] mem wr: pc = 1c000050, addr = 1c0800bc, data = 00000045
[0000003261ns] mem rd: pc = 1c000060, addr = 1c0099a0, data = 69727453
[0000003291ns] mem wr: pc = 1c000050, addr = 1c0800c0, data = 69727453
[0000003329ns] mem rd: pc = 1c000060, addr = 1c0099a4, data = 3d20676e
[0000003341ns] mem wr: pc = 1c000050, addr = 1c0800c4, data = 3d20676e
[0000003379ns] mem rd: pc = 1c000060, addr = 1c0099a8, data = 2c732520
