[0000000025ns] mem rd: pc = 00000000, addr = 1c000000, data = 0380200c
[0000000039ns] mem rd: pc = 1c000000, addr = 1c000004, data = 0380600d
[0000000059ns] mem rd: pc = 1c000004, addr = 1c000008, data = 040001ac
[0000000073ns] mem rd: pc = 1c000008, addr = 1c00000c, data = 04060020
[0000000085ns] mem rd: pc = 1c000008, addr = 1c00000c, data = 04060020
[0000000099ns] mem rd: pc = 1c00000c, addr = 1c000010, data = 04060420
[0000000115ns] mem rd: pc = 1c00000c, addr = 1c000010, data = 04060420
[0000000129ns] mem rd: pc = 1c000010, addr = 1c000014, data = 0380640c
[0000000143ns] mem rd: pc = 1c000010, addr = 1c000014, data = 0380640c
[0000000157ns] mem rd: pc = 1c000014, addr = 1c000018, data = 0406002c
[0000000173ns] mem rd: pc = 1c000018, addr = 1c00001c, data = 1540000c
[0000000191ns] mem rd: pc = 1c000018, addr = 1c00001c, data = 1540000c
[0000000205ns] mem rd: pc = 1c00001c, addr = 1c000020, data = 0380258c
[0000000231ns] mem rd: pc = 1c000020, addr = 1c000024, data = 0406042c
[0000000249ns] mem rd: pc = 1c000024, addr = 1c000028, data = 0380400c
[0000000263ns] mem rd: pc = 1c000024, addr = 1c000028, data = 0380400c
[0000000275ns] mem rd: pc = 1c000028, addr = 1c00002c, data = 0380600d
[0000000291ns] mem rd: pc = 1c00002c, addr = 1c000030, data = 040001ac
[0000000309ns] mem rd: pc = 1c000030, addr = 1c000034, data = 1c00014c
[0000000323ns] mem rd: pc = 1c000030, addr = 1c000030, data = 040001ac
[0000000325ns] mem rd: pc = 1c000030, addr = 1c000034, data = 1c00014c
[0000000327ns] mem rd: pc = 1c000030, addr = 1c000038, data = 02a2b18c
[0000000329ns] mem rd: pc = 1c000030, addr = 1c00003c, data = 1c00100d
[0000000355ns] mem rd: pc = 1c00003c, addr = 1c000040, data = 02bf11ad
[0000000359ns] mem rd: pc = 1c00003c, addr = 1c000044, data = 1c00102e
[0000000363ns] mem rd: pc = 1c00003c, addr = 1c000048, data = 02a571ce
[0000000365ns] mem rd: pc = 1c000040, addr = 1c00004c, data = 6c0019ae
[0000000385ns] mem rd: pc = 1c00004c, addr = 1c000050, data = 2880018f
[0000000389ns] mem rd: pc = 1c00004c, addr = 1c000054, data = 298001af
[0000000393ns] mem rd: pc = 1c00004c, addr = 1c000058, data = 0280118c
[0000000395ns] mem rd: pc = 1c00004c, addr = 1c00005c, data = 028011ad
[0000000403ns] mem rd: pc = 1c00004c, addr = 1c0098e0, data = 6165520a
[0000000407ns] mem rd: pc = 1c000050, addr = 1c0098e4, data = 75206863
[0000000409ns] mem rd: pc = 1c000050, addr = 1c0098e8, data = 7078656e
[0000000411ns] mem rd: pc = 1c000050, addr = 1c0098ec, data = 65746365
[0000000425ns] mem rd: pc = 1c00005c, addr = 1c080000, data = 00000000
[0000000429ns] mem rd: pc = 1c00005c, addr = 1c080004, data = 00000000
[0000000437ns] mem rd: pc = 1c00005c, addr = 1c080008, data = 00000000
[0000000439ns] mem rd: pc = 1c00005c, addr = 1c08000c, data = 00000000
[0000000441ns] mem rd: pc = 1c00005c, addr = 1c000060, data = 6bfff1ae
[0000000443ns] mem rd: pc = 1c00005c, addr = 1c000064, data = 1c00102c
[0000000451ns] mem rd: pc = 1c000060, addr = 1c000068, data = 02a4f18c
[0000000455ns] mem rd: pc = 1c000060, addr = 1c00006c, data = 1c00102d
[0000000517ns] mem rd: pc = 1c000060, addr = 1c0098f0, data = 78652064
[0000000521ns] mem rd: pc = 1c000050, addr = 1c0098f4, data = 3d3d000a
[0000000523ns] mem rd: pc = 1c000050, addr = 1c0098f8, data = 3d3d3d3d
[0000000527ns] mem rd: pc = 1c000050, addr = 1c0098fc, data = 3d3d3d3d
[0000000541ns] mem rd: pc = 1c000060, addr = 1c080010, data = 00000000
[0000000545ns] mem rd: pc = 1c000060, addr = 1c080014, data = 00000000
[0000000547ns] mem rd: pc = 1c000060, addr = 1c080018, data = 00000000
[0000000549ns] mem rd: pc = 1c000060, addr = 1c08001c, data = 00000000
[0000000597ns] mem rd: pc = 1c000060, addr = 1c009900, data = 3d3d3d3d
[0000000601ns] mem rd: pc = 1c000050, addr = 1c009904, data = 3d3d3d3d
[0000000605ns] mem rd: pc = 1c000050, addr = 1c009908, data = 000a3d3d
[0000000607ns] mem rd: pc = 1c000050, addr = 1c00990c, data = 7272450a
[0000000621ns] mem rd: pc = 1c000060, addr = 1c080020, data = 00000000
[0000000625ns] mem rd: pc = 1c000060, addr = 1c080024, data = 00000000
[0000000629ns] mem rd: pc = 1c000060, addr = 1c080028, data = 00000000
[0000000633ns] mem rd: pc = 1c000060, addr = 1c08002c, data = 00000000
[0000000685ns] mem rd: pc = 1c000060, addr = 1c009910, data = 4520726f
[0000000687ns] mem rd: pc = 1c000050, addr = 1c009914, data = 20206370
[0000000689ns] mem rd: pc = 1c000050, addr = 1c009918, data = 00207369
[0000000693ns] mem rd: pc = 1c000050, addr = 1c00991c, data = 2073560a
[0000000709ns] mem rd: pc = 1c000060, addr = 1c080030, data = 00000000
[0000000711ns] mem rd: pc = 1c000060, addr = 1c080034, data = 00000000
[0000000713ns] mem rd: pc = 1c000060, addr = 1c080038, data = 00000000
[0000000715ns] mem rd: pc = 1c000060, addr = 1c08003c, data = 00000000
[0000000765ns] mem rd: pc = 1c000060, addr = 1c009920, data = 20746962
[0000000769ns] mem rd: pc = 1c000050, addr = 1c009924, data = 20202020
[0000000771ns] mem rd: pc = 1c000050, addr = 1c009928, data = 00207369
[0000000773ns] mem rd: pc = 1c000050, addr = 1c00992c, data = 6378450a
[0000000785ns] mem rd: pc = 1c000060, addr = 1c080040, data = 00000000
[0000000787ns] mem rd: pc = 1c000060, addr = 1c080044, data = 00000000
[0000000789ns] mem rd: pc = 1c000060, addr = 1c080048, data = 00000000
[0000000791ns] mem rd: pc = 1c000060, addr = 1c08004c, data = 00000000
[0000000841ns] mem rd: pc = 1c000060, addr = 1c009930, data = 2065646f
[0000000845ns] mem rd: pc = 1c000050, addr = 1c009934, data = 20202020
[0000000849ns] mem rd: pc = 1c000050, addr = 1c009938, data = 00207369
[0000000851ns] mem rd: pc = 1c000050, addr = 1c00993c, data = 6461420a
[0000000867ns] mem rd: pc = 1c000060, addr = 1c080050, data = 00000000
[0000000869ns] mem rd: pc = 1c000060, addr = 1c080054, data = 00000000
[0000000871ns] mem rd: pc = 1c000060, addr = 1c080058, data = 00000000
[0000000881ns] mem rd: pc = 1c000060, addr = 1c08005c, data = 00000000
[0000000929ns] mem rd: pc = 1c000060, addr = 1c009940, data = 64646120
[0000000931ns] mem rd: pc = 1c000050, addr = 1c009944, data = 20202072
[0000000933ns] mem rd: pc = 1c000050, addr = 1c009948, data = 00207369
[0000000937ns] mem rd: pc = 1c000050, addr = 1c00994c, data = 3d3d3d0a
[0000000961ns] mem rd: pc = 1c000060, addr = 1c080060, data = 00000000
[0000000965ns] mem rd: pc = 1c000060, addr = 1c080064, data = 00000000
[0000000969ns] mem rd: pc = 1c000060, addr = 1c080068, data = 00000000
[0000000973ns] mem rd: pc = 1c000060, addr = 1c08006c, data = 00000000
[0000001023ns] mem rd: pc = 1c000060, addr = 1c009950, data = 3d3d3d3d
[0000001027ns] mem rd: pc = 1c000050, addr = 1c009954, data = 3d3d3d3d
[0000001033ns] mem rd: pc = 1c000050, addr = 1c009958, data = 3d3d3d3d
[0000001037ns] mem rd: pc = 1c000050, addr = 1c00995c, data = 3d3d3d3d
[0000001055ns] mem rd: pc = 1c000060, addr = 1c080070, data = 00000000
[0000001059ns] mem rd: pc = 1c000060, addr = 1c080074, data = 00000000
[0000001063ns] mem rd: pc = 1c000060, addr = 1c080078, data = 00000000
[0000001067ns] mem rd: pc = 1c000060, addr = 1c08007c, data = 00000000
[0000001119ns] mem rd: pc = 1c000060, addr = 1c009960, data = 00000a3d
[0000001123ns] mem rd: pc = 1c000050, addr = 1c009964, data = 6c6c6548
[0000001127ns] mem rd: pc = 1c000050, addr = 1c009968, data = 6f4c206f
[0000001129ns] mem rd: pc = 1c000050, addr = 1c00996c, data = 61676e6f
[0000001141ns] mem rd: pc = 1c000060, addr = 1c080080, data = 00000000
[0000001143ns] mem rd: pc = 1c000060, addr = 1c080084, data = 00000000
[0000001145ns] mem rd: pc = 1c000060, addr = 1c080088, data = 00000000
[0000001147ns] mem rd: pc = 1c000060, addr = 1c08008c, data = 00000000
[0000001199ns] mem rd: pc = 1c000060, addr = 1c009970, data = 33686372
[0000001203ns] mem rd: pc = 1c000050, addr = 1c009974, data = 0a217232
[0000001205ns] mem rd: pc = 1c000050, addr = 1c009978, data = 00000000
[0000001207ns] mem rd: pc = 1c000050, addr = 1c00997c, data = 203d2061
[0000001223ns] mem rd: pc = 1c000060, addr = 1c080090, data = 00000000
[0000001227ns] mem rd: pc = 1c000060, addr = 1c080094, data = 00000000
[0000001241ns] mem rd: pc = 1c000060, addr = 1c080098, data = 00000000
[0000001243ns] mem rd: pc = 1c000060, addr = 1c08009c, data = 00000000
[0000001291ns] mem rd: pc = 1c000060, addr = 1c009980, data = 000a6425
[0000001293ns] mem rd: pc = 1c000050, addr = 1c009984, data = 203d2062
[0000001295ns] mem rd: pc = 1c000050, addr = 1c009988, data = 000a6625
[0000001297ns] mem rd: pc = 1c000050, addr = 1c00998c, data = 203d2063
[0000001315ns] mem rd: pc = 1c000060, addr = 1c0800a0, data = 00000000
[0000001317ns] mem rd: pc = 1c000060, addr = 1c0800a4, data = 00000000
[0000001319ns] mem rd: pc = 1c000060, addr = 1c0800a8, data = 00000000
[0000001323ns] mem rd: pc = 1c000060, addr = 1c0800ac, data = 00000000
[0000001379ns] mem rd: pc = 1c000060, addr = 1c009990, data = 0a666c25
[0000001383ns] mem rd: pc = 1c000050, addr = 1c009994, data = 00000000
[0000001385ns] mem rd: pc = 1c000050, addr = 1c009998, data = 44434241
[0000001391ns] mem rd: pc = 1c000050, addr = 1c00999c, data = 00000045
[0000001413ns] mem rd: pc = 1c000060, addr = 1c0800b0, data = 00000000
[0000001417ns] mem rd: pc = 1c000060, addr = 1c0800b4, data = 00000000
[0000001421ns] mem rd: pc = 1c000060, addr = 1c0800b8, data = 00000000
[0000001423ns] mem rd: pc = 1c000060, addr = 1c0800bc, data = 00000000
[0000001479ns] mem rd: pc = 1c000060, addr = 1c0099a0, data = 69727453
[0000001483ns] mem rd: pc = 1c000050, addr = 1c0099a4, data = 3d20676e
[0000001487ns] mem rd: pc = 1c000050, addr = 1c0099a8, data = 2c732520
[0000001493ns] mem rd: pc = 1c000050, addr = 1c0099ac, data = 64412020
[0000001507ns] mem rd: pc = 1c000060, addr = 1c0800c0, data = 00000000
[0000001511ns] mem rd: pc = 1c000060, addr = 1c0800c4, data = 00000000
[0000001513ns] mem rd: pc = 1c000060, addr = 1c0800c8, data = 00000000
[0000001519ns] mem rd: pc = 1c000060, addr = 1c0800cc, data = 00000000
[0000001569ns] mem rd: pc = 1c000060, addr = 1c0099b0, data = 73657264
[0000001571ns] mem rd: pc = 1c000050, addr = 1c0099b4, data = 203d2073
[0000001573ns] mem rd: pc = 1c000050, addr = 1c0099b8, data = 78257830
[0000001575ns] mem rd: pc = 1c000050, addr = 1c0099bc, data = 0000000a
[0000001589ns] mem rd: pc = 1c000060, addr = 1c0800d0, data = 00000000
[0000001593ns] mem rd: pc = 1c000060, addr = 1c0800d4, data = 00000000
[0000001595ns] mem rd: pc = 1c000060, addr = 1c0800d8, data = 00000000
[0000001597ns] mem rd: pc = 1c000060, addr = 1c0800dc, data = 00000000
[0000001651ns] mem rd: pc = 1c000060, addr = 1c0099c0, data = 000a7325
[0000001655ns] mem rd: pc = 1c000050, addr = 1c0099c4, data = 00000000
[0000001657ns] mem rd: pc = 1c000050, addr = 1c0099c8, data = 80000000
[0000001663ns] mem rd: pc = 1c000050, addr = 1c0099cc, data = 400a0d1b
[0000001683ns] mem rd: pc = 1c000060, addr = 1c0800e0, data = 00000000
[0000001687ns] mem rd: pc = 1c000060, addr = 1c0800e4, data = 00000000
